0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:41 -0300] "GET /ssa/javax.faces.resource/iCheck/icheck.min.js.xhtml?ln=components HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:41 -0300] "GET /ssa/javax.faces.resource/DataTables/media/js/jquery.dataTables.min.js.xhtml?ln=components HTTP/1.1" 200 79740
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:41 -0300] "GET /ssa/javax.faces.resource/select2/dist/css/select2.min.css.xhtml?ln=components HTTP/1.1" 200 14930
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:41 -0300] "GET /ssa/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 70754
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:41 -0300] "GET /ssa/javax.faces.resource/ace/theme-github.js.xhtml?ln=components HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:41 -0300] "GET /ssa/javax.faces.resource/select2/dist/js/select2.full.min.js.xhtml?ln=components HTTP/1.1" 200 71251
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:41 -0300] "GET /ssa/javax.faces.resource/dataTablesBootstrap/dataTables.bootstrap.js.xhtml?ln=components HTTP/1.1" 200 4473
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:41 -0300] "GET /ssa/javax.faces.resource/app.js.xhtml?ln=js HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:41 -0300] "GET /ssa/javax.faces.resource/ace/mode-html.js.xhtml?ln=components HTTP/1.1" 200 54554
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:41 -0300] "GET /ssa/javax.faces.resource/ace/ace.js.xhtml?ln=components HTTP/1.1" 200 340910
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:05 -0300] "GET /ssa/admin/gerDisciplinas.xhtml HTTP/1.1" 200 11385
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 25001
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/bootstrap/bootstrap.min.css.xhtml?ln=components HTTP/1.1" 200 99662
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/bootstrap-switch/bootstrap-switch.min.css.xhtml?ln=components HTTP/1.1" 200 6478
